name,url,grade,city,country,address,locality,region,postal,lat,lon,place_id
Subaru,https://guide.michelin.com/en/seoul-capital-area/kr-seoul/restaurant/subaru,bib_gourmand,Seoul,South Korea,"7 Bangbae-jungangno 21-gil, Seocho-gu Seoul Seoul Capital Area 06560 KOR",Seoul,Seoul Capital Area,06560,37.4923967,126.98612,ChIJCQU272qhfDUR6PCzxxD7AfY
Suigyo Murabayashi,https://guide.michelin.com/en/osaka-region/osaka/restaurant/suigyo-murabayashi,bib_gourmand,Osaka,Japan,"B1F, 1-2-17 Dojima, Kita-ku Osaka Osaka 530-0003 JPN",Osaka,Osaka,530-0003,34.6967104,135.4988084,ChIJ82YrLNHnAGARtvsmXcgazhw
Sushi Mikata,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/sushi-mikata,bib_gourmand,Tokyo,Japan,"4-1-4 Mita, Minato-ku Tokyo Tokyo 108-0073 JPN",Tokyo,Tokyo,108-0073,35.6477624,139.7413979,ChIJzWVsxeaLGGARtZ__YKOv0Mw
Sushi Yoshino,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/sushi-yoshino,bib_gourmand,Tokyo,Japan,"B1F, 2-30-2 Chuo, Nakano-ku Tokyo Tokyo 164-0011 JPN",Tokyo,Tokyo,164-0011,35.6975481,139.6791871,ChIJv6lIOsXyGGARXyDMDEu2_rQ
Sushidokoro Shigeru,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/sushidokoro-shigeru,bib_gourmand,Tokyo,Japan,"15 Funamachi, Shinjuku-ku Tokyo Tokyo 160-0006 JPN",Tokyo,Tokyo,160-0006,35.6917456,139.7216833,ChIJB2h0EO6MGGAR31rYtTZG9SQ
T'astous,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/t-astous,bib_gourmand,Tokyo,Japan,"2-5-21 Minamiazabu, Minato-ku Tokyo Tokyo 106-0047 JPN",Tokyo,Tokyo,106-0047,35.6499377,139.7371162,ChIJ9Q4enqaLGGARHWN_L-lhDwQ
Tachigui Sushi Tonari,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/tachigui-sushi-tonari,bib_gourmand,Tokyo,Japan,"2F, 2-8-7 Azabujuban, Minato-ku Tokyo Tokyo 106-0045 JPN",Tokyo,Tokyo,106-0045,35.6555301,139.7347368,ChIJNeF3ix6LGGARrGJhqkkngpo
Tachiguisushi Sushikawa,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/tachiguisushi-sushikawa,bib_gourmand,Tokyo,Japan,"1-62-6 Sasazuka, Shibuya-ku Tokyo Tokyo 151-0073 JPN",Tokyo,Tokyo,151-0073,35.67276750000001,139.6623802,ChIJnW7xm6HzGGARyLJezuFbDUU
Tempura Kakiage Yukimura,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/tempura-kakiage-yukimura,bib_gourmand,Tokyo,Japan,"6-13-13 Shimbashi, Minato-ku Tokyo Tokyo 105-0004 JPN",Tokyo,Tokyo,105-0004,35.6620038,139.7535989,ChIJtxKb4qOLGGARjVoXGBN1G5k
Tempura Kozaki,https://guide.michelin.com/en/osaka-region/osaka/restaurant/tempura-kozaki,bib_gourmand,Osaka,Japan,"4-11-38 Matsuzakicho, Abeno-ku Osaka Osaka 545-0053 JPN",Osaka,Osaka,545-0053,34.638071,135.5177994,ChIJwar0e93dAGAR_W6i9Tv8tVQ
Ten Suns,https://guide.michelin.com/en/bangkok-region/bangkok/restaurant/ten-suns,bib_gourmand,Bangkok,Thailand,"456 Wisut Kasat Road, Bang Khun Phrom, Phra Nakhon Bangkok Bangkok Region 10200 THA",Bangkok,Bangkok Region,10200,13.7625387,100.5041377,ChIJP5Xfy2uZ4jARBP7Skj__UqA
Tenboshi,https://guide.michelin.com/en/osaka-region/osaka/restaurant/tenboshi,bib_gourmand,Osaka,Japan,"7-10-9 Tenjimbashi, Kita-ku Osaka Osaka 531-0041 JPN",Osaka,Osaka,531-0041,34.713765,135.5112181,ChIJ31LvfLvmAGARttTcpzhSvYI
Tensuke,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/tensuke,bib_gourmand,Tokyo,Japan,"3-22-7 Koenjikita, Suginami-ku Tokyo Tokyo 166-0002 JPN",Tokyo,Tokyo,166-0002,35.7058375,139.6487831,ChIJXaZmo33yGGARE9okpsCbz80
The Barbary,https://guide.michelin.com/en/greater-london/london/restaurant/barbary,bib_gourmand,London,United Kingdom,"16 Neal’s Yard, Covent Garden London Greater London WC2H 9DP GBR",London,Greater London,WC2H 9DP,51.5144401,-0.126181,ChIJFQE6KM0EdkgRlUwerzMDqR8
The Eatery,https://guide.michelin.com/en/prague/prague/restaurant/the-eatery,bib_gourmand,Prague,Czech Republic,U Uranie 954/18 Prague Prague 170 00 CZE,Prague,Prague,170 00,50.1074694,14.4507564,ChIJuz0vRzuVC0cRSfvtawq3UPk
The Hero,https://guide.michelin.com/en/greater-london/london/restaurant/the-hero,bib_gourmand,London,United Kingdom,"55 Shirland Road, Maida Vale London Greater London W9 2JD GBR",London,Greater London,W9 2JD,51.5243227,-0.1887564,ChIJbZyeMwARdkgRVwNMuMakX74
The Pelican,https://guide.michelin.com/en/greater-london/london/restaurant/the-pelican,bib_gourmand,London,United Kingdom,"45 All Saints Road, Notting Hill London Greater London W11 1HE GBR",London,Greater London,W11 1HE,51.5188103013965,-0.204515331152933,
Thien Duong,https://guide.michelin.com/en/bangkok-region/bangkok/restaurant/thien-duong,bib_gourmand,Bangkok,Thailand,"Baan Dusit Thani, 116 Saladaeng Road, Si Lom, Bang Rak Bangkok Bangkok Region 10500 THA",Bangkok,Bangkok Region,10500,13.7270253,100.5360533,ChIJl3YhOAKf4jARheZW4VCU2rM
Thìa Gỗ,https://guide.michelin.com/en/da-nang-region/da-nang_2984390/restaurant/thia-go%C2%A0,bib_gourmand,Da Nang,Vietnam,"53 Phan Thuc Duyen Street, My An Ward, Ngu Hanh Son District Da Nang Da Nang Region 50507 VNM",Da Nang,Da Nang Region,50507,16.0529867,108.2415777,ChIJ1xhMtcMZQjER9bUa3xuUKFA
Tiệm Cơm Thố Chuyên Ký,https://guide.michelin.com/en/ho-chi-minh/ho-chi-minh_2978179/restaurant/tiem-com-tho-chuyen-ky,bib_gourmand,Ho Chi Minh City,Vietnam,"67 Ton That Dam Street, Ben Nghe Ward, District 1 Ho Chi Minh City Hồ Chí Minh 70000 VNM",Ho Chi Minh City,Hồ Chí Minh,70000,10.771385,106.703038,ChIJc4e_IUEvdTERfdMLD248bSc
Tonkatsu Nanaido,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/tonkatsu-nanaido,bib_gourmand,Tokyo,Japan,"3-42-11 Jingumae, Shibuya-ku Tokyo Tokyo 150-0001 JPN",Tokyo,Tokyo,150-0001,35.6718214,139.7139354,ChIJd3k3CTeNGGARmUPOr0Ck8ss
Trattoria Cibrèo - Il Cibrèino,https://guide.michelin.com/en/toscana/firenze/restaurant/trattoria-cibreo-cibreino,bib_gourmand,Florence,Italy,via dei Macci 122 r Florence Tuscany 50122 ITA,Florence,Tuscany,50122,43.7712781,11.2664995,ChIJW6fDKg9UKhMR8nJYaNkwdDo
Tres por Cuatro,https://guide.michelin.com/en/comunidad-de-madrid/madrid/restaurant/tres-por-cuatro,bib_gourmand,Madrid,Spain,Montesa 9 Madrid Community of Madrid 28006 ESP,Madrid,Community of Madrid,28006,40.4273951,-3.6724862,ChIJK0HNcbsoQg0RoGBHzGeb68A
Treze,https://guide.michelin.com/en/comunidad-de-madrid/madrid/restaurant/treze,bib_gourmand,Madrid,Spain,General Pardiñas 34 Madrid Community of Madrid 28001 ESP,Madrid,Community of Madrid,28001,40.426798,-3.6783377,ChIJd-4jqGUoQg0Ri7UCUr8KiaA
Trèsde,https://guide.michelin.com/en/comunidad-de-madrid/madrid/restaurant/tresde,bib_gourmand,Madrid,Spain,Cava Alta 17 Madrid Community of Madrid 28005 ESP,Madrid,Community of Madrid,28005,40.4120285,-3.7092102,ChIJp5iX4hInQg0Rp13qDETNvZI
U Kalendů,https://guide.michelin.com/en/prague/prague/restaurant/u-kalendu,bib_gourmand,Prague,Czech Republic,Rašínovo Nábřeží 383/58 Prague Prague 10100 CZE,Prague,Prague,10100,50.0713045,14.4145502,ChIJGz-lqliUC0cRLjke2Rmkk-M
U Matěje,https://guide.michelin.com/en/prague/prague/restaurant/u-mateje,bib_gourmand,Prague,Czech Republic,U Matěje 152/1 Prague Prague 16000 CZE,Prague,Prague,16000,50.1131573,14.3797957,ChIJ6xT4LJeVC0cROf4B1jklt6w
Udondokoro Shigemi,https://guide.michelin.com/en/osaka-region/osaka/restaurant/udondokoro-shigemi,bib_gourmand,Osaka,Japan,"4-7-7 Nishitemma, Kita-ku Osaka Osaka 530-0047 JPN",Osaka,Osaka,530-0047,34.6966347,135.5038325,ChIJ0_JP-5HnAGARb2nSbzYpBxU
Ueroku wine,https://guide.michelin.com/en/osaka-region/osaka/restaurant/ueroku-wine,bib_gourmand,Osaka,Japan,"4-15 Higashikozucho, Tennoji-ku Osaka Osaka 543-0021 JPN",Osaka,Osaka,543-0021,34.6746157,135.5106432,ChIJBU9185znAGAR9f2SUTGBPKI
Upstairs (at Trinity),https://guide.michelin.com/en/greater-london/london/restaurant/upstairs-at-trinity,bib_gourmand,London,United Kingdom,"4 The Polygon, Clapham London Greater London SW4 0JG GBR",London,Greater London,SW4 0JG,51.4635207,-0.1415200999999999,ChIJ36APYg0FdkgR8DRF4-44s_k
Urai Braised Goose,https://guide.michelin.com/en/bangkok-region/bangkok/restaurant/urai-braised-goose,bib_gourmand,Bangkok,Thailand,"935 Song Wat Road, Chakkrawat, Samphanthawong Bangkok Bangkok Region 10100 THA",Bangkok,Bangkok Region,10100,13.7382155,100.5075808,ChIJy6QILCCZ4jAR5iOyP7Olb5M
Varra,https://guide.michelin.com/en/comunidad-de-madrid/madrid/restaurant/varra,bib_gourmand,Madrid,Spain,Hermosilla 7 Madrid Community of Madrid 28001 ESP,Madrid,Community of Madrid,28001,40.4266287,-3.6883178,ChIJiZAylTwpQg0RCCyNBjUDAY4
Vinoteca Moratín,https://guide.michelin.com/en/comunidad-de-madrid/madrid/restaurant/vinoteca-moratin,bib_gourmand,Madrid,Spain,Moratín 36 Madrid Community of Madrid 28014 ESP,Madrid,Community of Madrid,28014,40.4125418,-3.6954461,ChIJP8qO0ikmQg0RVZ95Zwom98s
Výčep,https://guide.michelin.com/en/prague/prague/restaurant/vycep,bib_gourmand,Prague,Czech Republic,Korunní 1304/92 Prague Prague 101 00 CZE,Prague,Prague,101 00,50.0752439,14.4536006,ChIJKyH5iTGTC0cRCpMY5gut7n0
Vị Quê Kitchen,https://guide.michelin.com/en/ho-chi-minh/ho-chi-minh_2978179/restaurant/vi-que-kitchen,bib_gourmand,Ho Chi Minh City,Vietnam,"110 Suong Nguyet Anh Street, Ben Thanh Ward, District 1 Ho Chi Minh City Hồ Chí Minh 710000 VNM",Ho Chi Minh City,Hồ Chí Minh,710000,10.7715986,106.6885602,ChIJH0cgnuUvdTER2AnGhgXomxY
Washokuya Taichi,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/washokuya-taichi,bib_gourmand,Tokyo,Japan,"3-36-14 Kitasenzoku, Ota-ku Tokyo Tokyo 145-0062 JPN",Tokyo,Tokyo,145-0062,35.6049931,139.6850815,ChIJSZ-IdDH1GGAR7XDC7cVmng0
Woracziczky,https://guide.michelin.com/en/vienna/wien/restaurant/woracziczky,bib_gourmand,Vienna,Austria,Spengergasse 52 Vienna Vienna 1050 AUT,Vienna,Vienna,1050,48.1892466,16.3530415,ChIJ-1KKJyaobUcRwE_3K3vf7so
YAKUMO,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/yakumo,bib_gourmand,Tokyo,Japan,"3-6-15 Higashiyama, Meguro-ku Tokyo Tokyo 153-0043 JPN",Tokyo,Tokyo,153-0043,35.6501307,139.6868459,ChIJGTrknqz0GGARxnC8Ps-HaWc
Yakitori Abe,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/yakitori-abe,bib_gourmand,Tokyo,Japan,"3-3-4 Kamiosaki, Shinagawa-ku Tokyo Tokyo 141-0021 JPN",Tokyo,Tokyo,141-0021,35.6339546,139.7180992,ChIJHWZpbRyLGGARLILahwepp6Y
Yakitori Onjung,https://guide.michelin.com/en/busan-region/busan_1025838/restaurant/yakitori-onjung,bib_gourmand,Busan,South Korea,"9-7 Dongcheon-ro 108 beon-gil, Busanjin-Gu Busan Busan 47247 KOR",Busan,Busan,47247,35.1586678,129.0628495,ChIJ15oIIFfraDURsGRztK9PlRs
